,filename,label,class,width,height,xmin,ymin,xmax,ymax
750,11261.png,21,A57,40,88,0,0,40,88
751,19246.png,21,A57,50,93,0,0,50,93
753,30395.png,21,A57,38,65,0,0,38,65
754,36046.png,21,A57,33,63,0,0,33,63
756,42530.png,21,A57,43,83,0,0,43,83
757,41281.png,21,A57,36,71,0,0,36,71
758,37560.png,21,A57,37,67,0,0,37,67
759,41857.png,21,A57,36,74,0,0,36,74
760,37361.png,21,A57,33,63,0,0,33,63
762,31831.png,21,A57,48,94,0,0,48,94
763,32532.png,21,A57,38,80,0,0,38,80
765,54060.png,21,A57,40,74,0,0,40,74
766,58021.png,21,A57,43,102,0,0,43,102
767,19262.png,21,A57,52,101,0,0,52,101
768,43217.png,21,A57,41,68,0,0,41,68
769,55071.png,21,A57,58,88,0,0,58,88
770,19026.png,21,A57,41,83,0,0,41,83
771,57985.png,21,A57,45,101,0,0,45,101
772,37812.png,21,A57,40,75,0,0,40,75
773,54093.png,21,A57,41,77,0,0,41,77
774,42926.png,21,A57,44,69,0,0,44,69
775,33328.png,21,A57,37,72,0,0,37,72
777,29823.png,21,A57,41,77,0,0,41,77
778,36593.png,21,A57,33,68,0,0,33,68
779,57403.png,21,A57,42,71,0,0,42,71
780,33727.png,21,A57,42,65,0,0,42,65
781,44240.png,21,A57,40,73,0,0,40,73
782,8650.png,21,A57,40,88,0,0,40,88
783,31730.png,21,A57,55,92,0,0,55,92
784,34954.png,21,A57,34,62,0,0,34,62
786,44418.png,21,A57,38,73,0,0,38,73
788,52315.png,21,A57,53,87,0,0,53,87
789,31685.png,21,A57,52,88,0,0,52,88
790,40410.png,21,A57,36,69,0,0,36,69
791,43555.png,21,A57,41,72,0,0,41,72
792,10182.png,21,A57,43,96,0,0,43,96
793,44130.png,21,A57,40,67,0,0,40,67
795,53941.png,21,A57,43,70,0,0,43,70
796,33421.png,21,A57,41,79,0,0,41,79
797,39856.png,21,A57,36,71,0,0,36,71
799,37207.png,21,A57,34,64,0,0,34,64
800,41178.png,21,A57,37,70,0,0,37,70
801,57929.png,21,A57,44,91,0,0,44,91
804,9712.png,21,A57,39,84,0,0,39,84
806,20281.png,21,A57,42,77,0,0,42,77
808,10025.png,21,A57,41,81,0,0,41,81
812,30320.png,21,A57,38,64,0,0,38,64
813,40515.png,21,A57,35,69,0,0,35,69
814,6456.png,21,A57,40,78,0,0,40,78
815,8696.png,21,A57,40,87,0,0,40,87
819,41085.png,21,A57,36,70,0,0,36,70
820,8421.png,21,A57,49,99,0,0,49,99
821,44169.png,21,A57,40,70,0,0,40,70
822,43304.png,21,A57,42,71,0,0,42,71
823,54137.png,21,A57,39,75,0,0,39,75
824,43518.png,21,A57,41,73,0,0,41,73
825,43321.png,21,A57,43,73,0,0,43,73
826,33603.png,21,A57,41,70,0,0,41,70
827,19151.png,21,A57,44,87,0,0,44,87
828,6772.png,21,A57,47,89,0,0,47,89
829,58091.png,21,A57,42,94,0,0,42,94
830,42951.png,21,A57,42,66,0,0,42,66
831,54929.png,21,A57,66,95,0,0,66,95
832,32078.png,21,A57,43,100,0,0,43,100
833,42768.png,21,A57,44,74,0,0,44,74
834,54549.png,21,A57,44,93,0,0,44,93
835,40951.png,21,A57,35,69,0,0,35,69
836,52441.png,21,A57,50,81,0,0,50,81
837,36222.png,21,A57,35,66,0,0,35,66
840,10979.png,21,A57,37,73,0,0,37,73
841,44675.png,21,A57,45,91,0,0,45,91
843,37175.png,21,A57,34,64,0,0,34,64
844,12097.png,21,A57,31,70,0,0,31,70
845,8436.png,21,A57,47,93,0,0,47,93
846,32033.png,21,A57,47,107,0,0,47,107
847,42108.png,21,A57,39,76,0,0,39,76
848,11185.png,21,A57,39,91,0,0,39,91
849,37596.png,21,A57,36,66,0,0,36,66
850,38888.png,21,A57,36,66,0,0,36,66
851,36377.png,21,A57,33,64,0,0,33,64
852,11385.png,21,A57,41,78,0,0,41,78
853,38267.png,21,A57,43,78,0,0,43,78
854,38044.png,21,A57,40,73,0,0,40,73
855,6367.png,21,A57,36,69,0,0,36,69
856,54593.png,21,A57,42,80,0,0,42,80
858,20485.png,21,A57,44,95,0,0,44,95
859,41454.png,21,A57,37,77,0,0,37,77
860,21169.png,21,A57,39,82,0,0,39,82
861,44400.png,21,A57,39,75,0,0,39,75
863,57389.png,21,A57,41,69,0,0,41,69
865,39568.png,21,A57,36,69,0,0,36,69
866,54104.png,21,A57,40,77,0,0,40,77
867,19058.png,21,A57,40,79,0,0,40,79
868,37127.png,21,A57,33,65,0,0,33,65
870,11369.png,21,A57,41,80,0,0,41,80
872,8996.png,21,A57,43,109,0,0,43,109
873,42328.png,21,A57,38,79,0,0,38,79
874,38482.png,21,A57,40,73,0,0,40,73
875,43030.png,21,A57,48,69,0,0,48,69
876,42558.png,21,A57,44,85,0,0,44,85
877,32193.png,21,A57,42,93,0,0,42,93
878,57375.png,21,A57,40,66,0,0,40,66
880,8377.png,21,A57,51,100,0,0,51,100
882,8391.png,21,A57,52,106,0,0,52,106
884,10383.png,21,A57,41,101,0,0,41,101
885,31887.png,21,A57,48,88,0,0,48,88
886,20536.png,21,A57,40,81,0,0,40,81
887,57336.png,21,A57,38,65,0,0,38,65
888,36421.png,21,A57,33,63,0,0,33,63
890,11994.png,21,A57,37,72,0,0,37,72
891,54745.png,21,A57,61,85,0,0,61,85
892,21195.png,21,A57,41,85,0,0,41,85
894,38427.png,21,A57,41,76,0,0,41,76
895,43932.png,21,A57,41,74,0,0,41,74
896,44073.png,21,A57,39,69,0,0,39,69
898,39816.png,21,A57,36,69,0,0,36,69
899,42393.png,21,A57,42,82,0,0,42,82
900,41017.png,11,B8,30,63,0,0,30,63
901,29508.png,11,B8,53,87,0,0,53,87
902,13214.png,11,B8,56,102,0,0,56,102
904,6971.png,11,B8,51,90,0,0,51,90
905,11192.png,11,B8,53,100,0,0,53,100
906,2943.png,11,B8,58,108,0,0,58,108
908,61613.png,11,B8,62,112,0,0,62,112
909,14092.png,11,B8,42,68,0,0,42,68
910,23906.png,11,B8,38,68,0,0,38,68
911,51029.png,11,B8,47,89,0,0,47,89
913,2551.png,11,B8,47,100,0,0,47,100
914,49903.png,11,B8,56,110,0,0,56,110
915,52524.png,11,B8,42,93,0,0,42,93
916,34764.png,11,B8,41,70,0,0,41,70
917,42077.png,11,B8,36,72,0,0,36,72
918,31174.png,11,B8,47,96,0,0,47,96
919,22219.png,11,B8,50,102,0,0,50,102
920,38613.png,11,B8,32,62,0,0,32,62
921,28327.png,11,B8,49,85,0,0,49,85
922,35666.png,11,B8,33,62,0,0,33,62
923,21331.png,11,B8,53,104,0,0,53,104
924,14470.png,11,B8,44,74,0,0,44,74
925,6706.png,11,B8,42,90,0,0,42,90
926,45528.png,11,B8,35,65,0,0,35,65
928,31355.png,11,B8,49,102,0,0,49,102
930,29266.png,11,B8,59,104,0,0,59,104
931,2239.png,11,B8,43,99,0,0,43,99
932,53528.png,11,B8,49,89,0,0,49,89
933,33073.png,11,B8,36,92,0,0,36,92
934,22411.png,11,B8,48,99,0,0,48,99
935,59806.png,11,B8,63,117,0,0,63,117
936,61026.png,11,B8,42,106,0,0,42,106
938,7155.png,11,B8,57,94,0,0,57,94
939,16108.png,11,B8,58,118,0,0,58,118
940,44852.png,11,B8,36,60,0,0,36,60
941,26859.png,11,B8,50,76,0,0,50,76
942,24752.png,11,B8,39,66,0,0,39,66
943,16140.png,11,B8,62,123,0,0,62,123
944,7407.png,11,B8,58,105,0,0,58,105
945,41736.png,11,B8,32,68,0,0,32,68
946,62000.png,11,B8,49,103,0,0,49,103
947,60994.png,11,B8,42,107,0,0,42,107
950,31341.png,11,B8,43,82,0,0,43,82
951,35804.png,11,B8,32,62,0,0,32,62
953,25213.png,11,B8,45,75,0,0,45,75
954,37559.png,11,B8,33,70,0,0,33,70
955,11163.png,11,B8,52,99,0,0,52,99
956,31965.png,11,B8,60,104,0,0,60,104
957,38843.png,11,B8,31,62,0,0,31,62
958,29219.png,11,B8,59,99,0,0,59,99
959,12956.png,11,B8,48,108,0,0,48,108
960,43480.png,11,B8,32,58,0,0,32,58
961,36398.png,11,B8,34,65,0,0,34,65
962,21052.png,11,B8,47,98,0,0,47,98
963,53849.png,11,B8,41,83,0,0,41,83
966,60656.png,11,B8,47,107,0,0,47,107
967,31936.png,11,B8,63,107,0,0,63,107
968,49727.png,11,B8,70,117,0,0,70,117
970,45306.png,11,B8,35,62,0,0,35,62
971,38553.png,11,B8,33,63,0,0,33,63
972,2808.png,11,B8,49,106,0,0,49,106
973,61230.png,11,B8,52,112,0,0,52,112
974,22194.png,11,B8,49,101,0,0,49,101
975,14598.png,11,B8,43,72,0,0,43,72
977,37269.png,11,B8,34,68,0,0,34,68
978,52544.png,11,B8,42,94,0,0,42,94
979,52394.png,11,B8,39,82,0,0,39,82
980,25609.png,11,B8,39,70,0,0,39,70
981,56699.png,11,B8,40,86,0,0,40,86
982,6538.png,11,B8,41,97,0,0,41,97
983,26406.png,11,B8,46,72,0,0,46,72
984,21504.png,11,B8,49,103,0,0,49,103
986,28102.png,11,B8,55,86,0,0,55,86
987,24368.png,11,B8,41,70,0,0,41,70
988,53357.png,11,B8,48,88,0,0,48,88
989,45077.png,11,B8,39,66,0,0,39,66
991,21242.png,11,B8,52,99,0,0,52,99
992,14796.png,11,B8,42,74,0,0,42,74
993,33397.png,11,B8,35,83,0,0,35,83
994,12600.png,11,B8,52,102,0,0,52,102
995,28546.png,11,B8,52,91,0,0,52,91
996,31023.png,11,B8,47,102,0,0,47,102
997,29146.png,11,B8,62,111,0,0,62,111
998,62686.png,11,B8,44,93,0,0,44,93
1000,31083.png,11,B8,46,93,0,0,46,93
1001,36700.png,11,B8,32,68,0,0,32,68
1002,37901.png,11,B8,33,67,0,0,33,67
1004,34402.png,11,B8,46,78,0,0,46,78
1005,30012.png,11,B8,44,81,0,0,44,81
1007,14979.png,11,B8,44,83,0,0,44,83
1008,45108.png,11,B8,39,68,0,0,39,68
1009,21452.png,11,B8,47,96,0,0,47,96
1010,62368.png,11,B8,44,102,0,0,44,102
1011,2959.png,11,B8,57,106,0,0,57,106
1012,33216.png,11,B8,37,88,0,0,37,88
1013,39915.png,11,B8,29,56,0,0,29,56
1014,63009.png,11,B8,44,79,0,0,44,79
1015,52584.png,11,B8,39,90,0,0,39,90
1016,30543.png,11,B8,41,71,0,0,41,71
1019,56514.png,11,B8,45,103,0,0,45,103
1020,17779.png,11,B8,39,75,0,0,39,75
1021,31521.png,11,B8,46,99,0,0,46,99
1024,13962.png,11,B8,41,68,0,0,41,68
1026,51863.png,11,B8,45,72,0,0,45,72
1027,35852.png,11,B8,33,64,0,0,33,64
1028,29122.png,11,B8,66,113,0,0,66,113
1030,61424.png,11,B8,63,108,0,0,63,108
1031,49911.png,11,B8,56,109,0,0,56,109
1033,3508.png,11,B8,55,125,0,0,55,125
1035,62233.png,11,B8,42,92,0,0,42,92
1036,23471.png,11,B8,39,66,0,0,39,66
1037,49653.png,11,B8,68,115,0,0,68,115
1038,17839.png,11,B8,43,86,0,0,43,86
1039,12685.png,11,B8,52,100,0,0,52,100
1040,33011.png,11,B8,39,100,0,0,39,100
1041,31599.png,11,B8,50,112,0,0,50,112
1043,41550.png,11,B8,32,73,0,0,32,73
1045,44605.png,11,B8,38,65,0,0,38,65
1046,10801.png,11,B8,48,110,0,0,48,110
1048,52289.png,11,B8,41,79,0,0,41,79
1049,37092.png,11,B8,32,68,0,0,32,68
1050,46043.png,19,A5,38,60,0,0,38,60
1051,52443.png,19,A5,32,57,0,0,32,57
1053,30531.png,19,A5,33,51,0,0,33,51
1054,38070.png,19,A5,32,60,0,0,32,60
1055,7774.png,19,A5,62,93,0,0,62,93
1057,44637.png,19,A5,32,60,0,0,32,60
1058,35483.png,19,A5,30,53,0,0,30,53
1059,47150.png,19,A5,45,78,0,0,45,78
1060,45021.png,19,A5,39,57,0,0,39,57
1062,46155.png,19,A5,38,61,0,0,38,61
1063,43928.png,19,A5,32,58,0,0,32,58
1065,48904.png,19,A5,37,76,0,0,37,76
1066,24408.png,19,A5,33,61,0,0,33,61
1067,39393.png,19,A5,30,53,0,0,30,53
1069,8834.png,19,A5,38,77,0,0,38,77
1070,23775.png,19,A5,35,63,0,0,35,63
1071,10279.png,19,A5,40,80,0,0,40,80
1072,54432.png,19,A5,37,67,0,0,37,67
1073,21628.png,19,A5,39,75,0,0,39,75
1075,29982.png,19,A5,36,59,0,0,36,59
1076,8147.png,19,A5,47,85,0,0,47,85
1077,60491.png,19,A5,43,89,0,0,43,89
1079,61688.png,19,A5,40,60,0,0,40,60
1081,42842.png,19,A5,31,58,0,0,31,58
1082,18926.png,19,A5,40,78,0,0,40,78
1083,63146.png,19,A5,37,50,0,0,37,50
1085,37151.png,19,A5,30,58,0,0,30,58
1086,44920.png,19,A5,38,55,0,0,38,55
1087,62852.png,19,A5,34,52,0,0,34,52
1088,36235.png,19,A5,30,53,0,0,30,53
1090,46366.png,19,A5,40,66,0,0,40,66
1092,12973.png,19,A5,45,68,0,0,45,68
1093,33124.png,19,A5,42,70,0,0,42,70
1094,34944.png,19,A5,33,59,0,0,33,59
1095,24349.png,19,A5,33,61,0,0,33,61
1096,62203.png,19,A5,41,66,0,0,41,66
1097,51912.png,19,A5,32,53,0,0,32,53
1098,39134.png,19,A5,30,52,0,0,30,52
1099,6194.png,19,A5,34,61,0,0,34,61
1100,54612.png,19,A5,43,76,0,0,43,76
1101,38926.png,19,A5,29,53,0,0,29,53
1102,14635.png,19,A5,33,68,0,0,33,68
1103,51727.png,19,A5,151,239,0,0,151,239
1104,22802.png,19,A5,41,70,0,0,41,70
1106,34650.png,19,A5,34,63,0,0,34,63
1107,9457.png,19,A5,45,94,0,0,45,94
1109,48478.png,19,A5,42,73,0,0,42,73
1111,59713.png,19,A5,50,85,0,0,50,85
1112,6128.png,19,A5,34,57,0,0,34,57
1113,60029.png,19,A5,44,72,0,0,44,72
1115,32571.png,19,A5,38,69,0,0,38,69
1118,48296.png,19,A5,42,72,0,0,42,72
1119,54590.png,19,A5,42,75,0,0,42,75
1120,36988.png,19,A5,30,55,0,0,30,55
1121,45862.png,19,A5,35,57,0,0,35,57
1122,8909.png,19,A5,39,78,0,0,39,78
1124,54080.png,19,A5,37,55,0,0,37,55
1125,32288.png,19,A5,41,70,0,0,41,70
1126,28884.png,19,A5,46,67,0,0,46,67
1127,33821.png,19,A5,42,70,0,0,42,70
1129,19925.png,19,A5,39,66,0,0,39,66
1130,52545.png,19,A5,32,56,0,0,32,56
1131,52615.png,19,A5,33,59,0,0,33,59
1132,39656.png,19,A5,30,54,0,0,30,54
1133,29606.png,19,A5,38,60,0,0,38,60
1135,6360.png,19,A5,34,64,0,0,34,64
1136,23998.png,19,A5,36,66,0,0,36,66
1137,43890.png,19,A5,32,58,0,0,32,58
1138,32819.png,19,A5,37,63,0,0,37,63
1139,47117.png,19,A5,42,75,0,0,42,75
1140,48313.png,19,A5,42,72,0,0,42,72
1141,8443.png,19,A5,41,79,0,0,41,79
1142,39441.png,19,A5,31,53,0,0,31,53
1143,14779.png,19,A5,35,72,0,0,35,72
1144,51181.png,19,A5,37,60,0,0,37,60
1145,42999.png,19,A5,31,58,0,0,31,58
1147,7987.png,19,A5,51,92,0,0,51,92
1148,43947.png,19,A5,32,57,0,0,32,57
1149,6378.png,19,A5,35,64,0,0,35,64
1150,46616.png,19,A5,41,70,0,0,41,70
1151,45463.png,19,A5,33,53,0,0,33,53
1152,54601.png,19,A5,42,76,0,0,42,76
1153,9913.png,19,A5,39,75,0,0,39,75
1154,9264.png,19,A5,39,79,0,0,39,79
1155,51979.png,19,A5,31,51,0,0,31,51
1156,54201.png,19,A5,35,57,0,0,35,57
1158,9625.png,19,A5,39,86,0,0,39,86
1160,6449.png,19,A5,37,65,0,0,37,65
1162,8192.png,19,A5,48,87,0,0,48,87
1165,37489.png,19,A5,29,59,0,0,29,59
1166,29422.png,19,A5,38,62,0,0,38,62
1167,52096.png,19,A5,30,52,0,0,30,52
1168,19590.png,19,A5,42,75,0,0,42,75
1169,61748.png,19,A5,41,64,0,0,41,64
1170,42351.png,19,A5,32,64,0,0,32,64
1171,60449.png,19,A5,40,77,0,0,40,77
1172,14471.png,19,A5,35,73,0,0,35,73
1174,48837.png,19,A5,36,72,0,0,36,72
1176,62792.png,19,A5,37,58,0,0,37,58
1177,32362.png,19,A5,40,71,0,0,40,71
1178,9116.png,19,A5,40,82,0,0,40,82
1179,28950.png,19,A5,43,63,0,0,43,63
1180,40510.png,19,A5,27,51,0,0,27,51
1181,45643.png,19,A5,33,54,0,0,33,54
1182,54361.png,19,A5,37,66,0,0,37,66
1183,46012.png,19,A5,38,60,0,0,38,60
1184,44722.png,19,A5,32,57,0,0,32,57
1185,23918.png,19,A5,34,64,0,0,34,64
1186,36950.png,19,A5,29,54,0,0,29,54
1188,6659.png,19,A5,40,68,0,0,40,68
1189,40489.png,19,A5,28,53,0,0,28,53
1190,45880.png,19,A5,35,57,0,0,35,57
1191,38332.png,19,A5,31,59,0,0,31,59
1192,28788.png,19,A5,48,69,0,0,48,69
1193,6263.png,19,A5,34,62,0,0,34,62
1194,10192.png,19,A5,44,87,0,0,44,87
1195,6342.png,19,A5,35,65,0,0,35,65
1196,8304.png,19,A5,46,91,0,0,46,91
1197,36713.png,19,A5,30,55,0,0,30,55
1198,52605.png,19,A5,34,58,0,0,34,58
1199,13358.png,19,A5,47,79,0,0,47,79
1201,39949.png,4,A11,31,60,0,0,31,60
1202,22244.png,4,A11,46,74,0,0,46,74
1203,31771.png,4,A11,41,85,0,0,41,85
1205,57518.png,4,A11,41,84,0,0,41,84
1206,32718.png,4,A11,37,71,0,0,37,71
1207,38100.png,4,A11,33,63,0,0,33,63
1208,31728.png,4,A11,42,87,0,0,42,87
1209,62589.png,4,A11,36,70,0,0,36,70
1210,40102.png,4,A11,31,60,0,0,31,60
1212,62972.png,4,A11,35,68,0,0,35,68
1214,44427.png,4,A11,36,64,0,0,36,64
1215,30297.png,4,A11,34,59,0,0,34,59
1216,30257.png,4,A11,34,59,0,0,34,59
1217,37365.png,4,A11,30,62,0,0,30,62
1218,29642.png,4,A11,39,69,0,0,39,69
1219,21589.png,4,A11,40,69,0,0,40,69
1221,43567.png,4,A11,36,65,0,0,36,65
1223,32076.png,4,A11,40,97,0,0,40,97
1224,20958.png,4,A11,38,73,0,0,38,73
1225,57972.png,4,A11,53,102,0,0,53,102
1226,62222.png,4,A11,37,74,0,0,37,74
1227,45399.png,4,A11,42,64,0,0,42,64
1229,19514.png,4,A11,44,71,0,0,44,71
1230,35381.png,4,A11,30,57,0,0,30,57
1231,41952.png,4,A11,33,67,0,0,33,67
1232,22386.png,4,A11,47,75,0,0,47,75
1234,29785.png,4,A11,41,70,0,0,41,70
1236,47395.png,4,A11,60,81,0,0,60,81
1237,21202.png,4,A11,38,72,0,0,38,72
1238,60423.png,4,A11,40,95,0,0,40,95
1239,60736.png,4,A11,37,96,0,0,37,96
1240,31842.png,4,A11,41,85,0,0,41,85
1241,36472.png,4,A11,30,59,0,0,30,59
1243,61031.png,4,A11,35,90,0,0,35,90
1244,54143.png,4,A11,35,69,0,0,35,69
1245,8918.png,4,A11,45,102,0,0,45,102
1246,22361.png,4,A11,49,80,0,0,49,80
1247,45056.png,4,A11,41,61,0,0,41,61
1248,39629.png,4,A11,32,64,0,0,32,64
1249,43023.png,4,A11,35,63,0,0,35,63
1250,11081.png,4,A11,42,65,0,0,42,65
1251,1036.png,4,A11,78,169,0,0,78,169
1252,32495.png,4,A11,37,76,0,0,37,76
1253,40144.png,4,A11,31,61,0,0,31,61
1254,38990.png,4,A11,31,58,0,0,31,58
1255,59798.png,4,A11,39,92,0,0,39,92
1256,36319.png,4,A11,31,60,0,0,31,60
1257,33326.png,4,A11,35,69,0,0,35,69
1258,44232.png,4,A11,36,62,0,0,36,62
1259,35887.png,4,A11,31,58,0,0,31,58
1260,63081.png,4,A11,35,64,0,0,35,64
1262,36984.png,4,A11,30,59,0,0,30,59
1264,44750.png,4,A11,37,64,0,0,37,64
1265,19530.png,4,A11,45,71,0,0,45,71
1266,23533.png,4,A11,37,71,0,0,37,71
1267,39343.png,4,A11,30,59,0,0,30,59
1269,41011.png,4,A11,30,59,0,0,30,59
1270,30907.png,4,A11,44,65,0,0,44,65
1271,11017.png,4,A11,43,66,0,0,43,66
1273,32934.png,4,A11,35,72,0,0,35,72
1274,54817.png,4,A11,49,85,0,0,49,85
1275,854.png,4,A11,81,168,0,0,81,168
1276,21830.png,4,A11,45,79,0,0,45,79
1277,40848.png,4,A11,29,59,0,0,29,59
1279,41094.png,4,A11,30,61,0,0,30,61
1280,61143.png,4,A11,36,85,0,0,36,85
1282,41684.png,4,A11,33,67,0,0,33,67
1283,35339.png,4,A11,30,57,0,0,30,57
1285,57673.png,4,A11,43,86,0,0,43,86
1286,44122.png,4,A11,36,61,0,0,36,61
1287,44782.png,4,A11,37,61,0,0,37,61
1290,20073.png,4,A11,43,70,0,0,43,70
1291,55391.png,4,A11,41,78,0,0,41,78
1292,61632.png,4,A11,40,94,0,0,40,94
1294,32319.png,4,A11,38,82,0,0,38,82
1296,54918.png,4,A11,50,88,0,0,50,88
1297,62253.png,4,A11,37,73,0,0,37,73
1299,60128.png,4,A11,38,108,0,0,38,108
1300,8843.png,4,A11,47,103,0,0,47,103
1301,30317.png,4,A11,36,62,0,0,36,62
1302,20007.png,4,A11,44,73,0,0,44,73
1303,22470.png,4,A11,51,84,0,0,51,84
1304,34369.png,4,A11,36,66,0,0,36,66
1305,1374.png,4,A11,73,165,0,0,73,165
1306,30982.png,4,A11,40,63,0,0,40,63
1307,29987.png,4,A11,37,67,0,0,37,67
1308,34560.png,4,A11,35,64,0,0,35,64
1309,62283.png,4,A11,37,72,0,0,37,72
1310,62780.png,4,A11,34,67,0,0,34,67
1311,54703.png,4,A11,46,85,0,0,46,85
1312,37693.png,4,A11,31,61,0,0,31,61
1313,9815.png,4,A11,42,94,0,0,42,94
1314,61781.png,4,A11,38,99,0,0,38,99
1316,42839.png,4,A11,34,67,0,0,34,67
1317,40731.png,4,A11,28,57,0,0,28,57
1318,21541.png,4,A11,39,74,0,0,39,74
1319,60088.png,4,A11,37,101,0,0,37,101
1321,22664.png,4,A11,55,72,0,0,55,72
1323,41287.png,4,A11,31,64,0,0,31,64
1324,38397.png,4,A11,33,65,0,0,33,65
1325,35274.png,4,A11,31,59,0,0,31,59
1326,8453.png,4,A11,52,113,0,0,52,113
1327,55310.png,4,A11,40,75,0,0,40,75
1328,62987.png,4,A11,34,66,0,0,34,66
1329,54825.png,4,A11,49,83,0,0,49,83
1331,23482.png,4,A11,37,68,0,0,37,68
1332,54994.png,4,A11,50,96,0,0,50,96
1333,22296.png,4,A11,49,80,0,0,49,80
1335,42700.png,4,A11,35,68,0,0,35,68
1337,35911.png,4,A11,31,58,0,0,31,58
1339,44861.png,4,A11,39,62,0,0,39,62
1340,984.png,4,A11,76,158,0,0,76,158
1341,10790.png,4,A11,38,76,0,0,38,76
1342,32390.png,4,A11,37,80,0,0,37,80
1343,29770.png,4,A11,40,68,0,0,40,68
1344,10058.png,4,A11,49,101,0,0,49,101
1346,60323.png,4,A11,35,95,0,0,35,95
1347,62206.png,4,A11,35,70,0,0,35,70
1348,62448.png,4,A11,34,66,0,0,34,66
1349,63001.png,4,A11,34,64,0,0,34,64
1351,57620.png,8,C-,48,97,0,0,48,97
1352,61672.png,8,C-,39,93,0,0,39,93
1353,32472.png,8,C-,42,82,0,0,42,82
1354,32213.png,8,C-,48,90,0,0,48,90
1355,29921.png,8,C-,38,66,0,0,38,66
1357,26762.png,8,C-,38,68,0,0,38,68
1358,21973.png,8,C-,58,100,0,0,58,100
1359,39849.png,8,C-,37,78,0,0,37,78
1362,60124.png,8,C-,45,108,0,0,45,108
1363,19653.png,8,C-,36,71,0,0,36,71
1364,13547.png,8,C-,53,98,0,0,53,98
1365,14071.png,8,C-,41,84,0,0,41,84
1367,2884.png,8,C-,41,99,0,0,41,99
1368,59755.png,8,C-,43,93,0,0,43,93
1369,38902.png,8,C-,40,75,0,0,40,75
1370,22712.png,8,C-,58,94,0,0,58,94
1371,3152.png,8,C-,45,105,0,0,45,105
1372,15059.png,8,C-,43,80,0,0,43,80
1373,28717.png,8,C-,52,82,0,0,52,82
1374,29292.png,8,C-,57,92,0,0,57,92
1375,10832.png,8,C-,47,101,0,0,47,101
1376,37641.png,8,C-,37,85,0,0,37,85
1378,7598.png,8,C-,54,133,0,0,54,133
1379,42102.png,8,C-,47,107,0,0,47,107
1380,46713.png,8,C-,45,102,0,0,45,102
1381,3402.png,8,C-,50,119,0,0,50,119
1382,47296.png,8,C-,49,102,0,0,49,102
1383,30901.png,8,C-,40,72,0,0,40,72
1384,29125.png,8,C-,62,98,0,0,62,98
1385,12560.png,8,C-,51,96,0,0,51,96
1386,25106.png,8,C-,39,77,0,0,39,77
1387,31135.png,8,C-,43,89,0,0,43,89
1388,7530.png,8,C-,54,131,0,0,54,131
1389,10402.png,8,C-,46,102,0,0,46,102
1390,21157.png,8,C-,48,112,0,0,48,112
1393,37119.png,8,C-,39,79,0,0,39,79
1394,2684.png,8,C-,47,111,0,0,47,111
1395,11157.png,8,C-,44,97,0,0,44,97
1396,41491.png,8,C-,46,103,0,0,46,103
1397,13665.png,8,C-,53,94,0,0,53,94
1399,12729.png,8,C-,51,99,0,0,51,99
1400,62657.png,8,C-,38,67,0,0,38,67
1401,61971.png,8,C-,37,80,0,0,37,80
1404,35462.png,8,C-,36,65,0,0,36,65
1405,15746.png,8,C-,43,99,0,0,43,99
1408,50904.png,8,C-,41,85,0,0,41,85
1409,14738.png,8,C-,39,71,0,0,39,71
1410,34409.png,8,C-,41,67,0,0,41,67
1412,29091.png,8,C-,62,100,0,0,62,100
1413,54086.png,8,C-,42,67,0,0,42,67
1414,22781.png,8,C-,54,95,0,0,54,95
1415,22619.png,8,C-,62,94,0,0,62,94
1416,55240.png,8,C-,32,88,0,0,32,88
1417,26564.png,8,C-,36,70,0,0,36,70
1418,35770.png,8,C-,35,64,0,0,35,64
1420,42427.png,8,C-,48,91,0,0,48,91
1421,22606.png,8,C-,62,91,0,0,62,91
1423,59937.png,8,C-,43,93,0,0,43,93
1426,37166.png,8,C-,39,81,0,0,39,81
1427,62384.png,8,C-,37,70,0,0,37,70
1428,24785.png,8,C-,38,70,0,0,38,70
1429,47483.png,8,C-,54,97,0,0,54,97
1430,22753.png,8,C-,54,93,0,0,54,93
1431,44143.png,8,C-,41,79,0,0,41,79
1433,26317.png,8,C-,35,67,0,0,35,67
1434,3452.png,8,C-,49,117,0,0,49,117
1435,32370.png,8,C-,44,84,0,0,44,84
1436,60002.png,8,C-,42,94,0,0,42,94
1437,43333.png,8,C-,47,81,0,0,47,81
1438,10123.png,8,C-,46,104,0,0,46,104
1439,42362.png,8,C-,42,80,0,0,42,80
1440,10704.png,8,C-,43,99,0,0,43,99
1441,34605.png,8,C-,41,69,0,0,41,69
1442,44817.png,8,C-,43,76,0,0,43,76
1443,35701.png,8,C-,36,65,0,0,36,65
1444,21838.png,8,C-,60,104,0,0,60,104
1445,24272.png,8,C-,38,74,0,0,38,74
1447,60687.png,8,C-,41,89,0,0,41,89
1448,40610.png,8,C-,36,72,0,0,36,72
1449,29045.png,8,C-,64,100,0,0,64,100
1450,57931.png,8,C-,49,99,0,0,49,99
1451,37382.png,8,C-,39,83,0,0,39,83
1452,24257.png,8,C-,38,76,0,0,38,76
1453,32100.png,8,C-,57,93,0,0,57,93
1455,32054.png,8,C-,54,85,0,0,54,85
1456,48521.png,8,C-,38,75,0,0,38,75
1458,27034.png,8,C-,42,70,0,0,42,70
1459,9853.png,8,C-,46,105,0,0,46,105
